Year,Dane Code,Name of Establishment,Concession,City,Location number,Location name,Sector,Ranking,Enrolled students (last 3 years),Evaluated (last 3 years),Mathematics Index,Natural Sciences Index,Social and Citizenship Index,Critical Reading Index,English Index,Total Index,Aprobacion (Passrate),Reprobacion (Fail rate),Descercion (Dropoutrate)
2014,1.11769E+11,COLEGIO HUNZA (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),11,SUBA,PUBLIC,B,295,290,0.6957,0.7038,0.7099,0.7109,0.6849,0.7035,85%,9%,6%
2014,1.11001E+11,COLEGIO PABLO NERUDA  (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),9,FONTIBON,PUBLIC,B,679,656,0.691,0.6905,0.713,0.7149,0.6797,0.7006,98%,0%,2%
2014,1.11001E+11,COLEGIO JULIO GARAVITO ARMERO (IED) - CENT EDUC DIST LA ALQUERIA,No,BOGOT√Å D.C. (BOGOTA),16,PUENTE ARANDA,PUBLIC,B,253,253,0.6961,0.6941,0.7036,0.7097,0.6688,0.6984,86%,9%,5%
2014,1.11001E+11,COLEGIO INSTITUTO TECNICO RODRIGO DE TRIANA (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),8,KENNEDY,PUBLIC,B,583,566,0.6816,0.6766,0.6891,0.6802,0.6547,0.6798,94%,4%,2%
2014,1.11001E+11,ICOLEGIO REPUBLICA EE.UU DE AMERICA (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),18,RAFAEL URIBE URIBE,PUBLIC,B,136,133,0.7092,0.7142,0.7145,0.7156,0.6843,0.7112,86%,12%,2%
2014,1.11001E+11,COLEGIO SAN MARTIN DE PORRES (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),2,CHAPINERO,PUBLIC,C,96,94,0.6493,0.6454,0.6507,0.6455,0.6182,0.6455,89%,5%,6%
2014,1.11001E+11,COLEGIO SORRENTO (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),16,PUENTE ARANDA,PUBLIC,A,432,426,0.7612,0.7644,0.7516,0.7578,0.6968,0.754,85%,11%,4%
2020,1.11002E+11,COLEGIO EL ENSUEÜO (IED) - Single Headquarters,Yes,BOGOT√Å D.C. (BOGOT√Å),19,CIUDAD BOLIVAR,PUBLIC,B,62,58,0.7259,0.6588,0.6745,0.7056,0.6631,0.6891,97%,1%,2%
2014,1.11001E+11,COLEGIO JOSE ASUNCION SILVA (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),10,ENGATIVA,PUBLIC,B,316,312,0.6905,0.6909,0.6921,0.7011,0.6766,0.6924,92%,7%,1%
2014,1.11001E+11,COLEGIO UNION COLOMBIA (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),,,PUBLIC,B,170,163,0.7052,0.7189,0.7252,0.7362,0.6837,0.7185,92%,7%,1%
2014,1.11265E+11,COLEGIO LA PALESTINA (IED) - Single Headquarters,No,BOGOT√Å D.C. (BOGOTA),7,BOSA,PUBLIC,B,438,429,0.7043,0.7114,0.704,0.7087,0.6888,0.7057,84%,12%,4%
